เขตบริการสุขภาพ,จังหวัด,2559,2560,2561,ประชากรกลางปี
0,กรุงเทพมหานคร,133085,128883,136418,5575104
1,เชียงใหม่,33566,33071,35546,1620100
1,ลำพูน,5616,5406,6992,403330
1,ลำปาง,19044,21150,22130,742078
1,แพร่,13974,15019,15262,445766
1,น่าน,14967,15912,16837,477648
1,พะเยา,13324,12868,13332,473909
1,เชียงราย,21118,20959,22694,1170232
1,แม่ฮ่องสอน,2627,2493,2966,237436
2,อุตรดิตถ์,14643,14957,16559,455211
2,ตาก,8507,8398,8885,537702
2,สุโขทัย,12498,14304,15288,597639
2,พิษณุโลก,20441,21982,20662,864644
2,เพชรบูรณ์,19233,19052,21425,993024
3,ชัยนาท,7487,7718,8537,328648
3,นครสวรรค์,24886,24187,24738,1062699
3,อุทัยธานี,11664,12099,12757,329205
3,กำแพงเพชร,13286,14382,15422,726994
3,พิจิตร,12469,13140,15140,540019
4,นนทบุรี,18223,18995,22199,1228649
4,ปทุมธานี,15592,15208,17235,1129006
4,พระนครศรีอยุธยา,15819,17298,17320,813622
4,อ่างทอง,11073,11264,11205,280621
4,ลพบุรี,18594,19067,20266,756711
4,สิงห์บุรี,7675,8320,8551,209444
4,สระบุรี,14657,15571,16362,637223
4,นครนายก,9340,9070,10442,258673
5,ราชบุรี,21237,21805,23647,847350
5,กาญจนบุรี,19435,20661,22446,815178
5,สุพรรณบุรี,20847,21136,22307,847992
5,นครปฐม,20667,19991,21962,905125
5,สมุทรสาคร,12591,13267,14039,540062
5,สมุทรสงคราม,5867,5644,6092,192138
5,เพชรบุรี,9218,9419,9505,479280
5,ประจวบคีรีขันธ์,11186,11231,12051,534589
6,สมุทรปราการ,20676,19731,20686,1300830
6,ชลบุรี,25842,27837,29431,1503563
6,ระยอง,9778,10467,10049,710811
6,จันทบุรี,14133,15145,15749,532526
6,ตราด,5690,5890,6310,219819
6,ฉะเชิงเทรา,14199,13759,13318,708894
6,ปราจีนบุรี,8479,9048,10382,488790
6,สระแก้ว,7852,8720,9490,559641
7,ขอนแก่น,45409,46288,51292,1802880
7,มหาสารคาม,18061,18228,19758,962473
7,ร้อยเอ็ด,21080,24224,25700,1306530
7,กาฬสินธุ์,19528,20622,22898,984901
8,บึงกาฬ,5152,6407,6881,422859
8,หนองบัวลำภู,5170,5729,6920,511407
8,อุดรธานี,26919,29165,32334,1578403
8,เลย,15014,16226,16005,638250
8,หนองคาย,9626,10099,11513,517343
8,สกลนคร,18730,19463,20897,1149943
8,นครพนม,7138,6627,7744,716782
9,นครราชสีมา,53972,58705,64664,2638687
9,บุรีรัมย์,31839,34124,35184,1591632
9,สุรินทร์,24205,27999,30579,1396289
9,ชัยภูมิ,20132,21886,23383,1138091
10,ศรีสะเกษ,19181,22023,25947,1471434
10,อุบลราชธานี,35684,40114,43366,1864544
10,ยโสธร,11693,12676,14349,538837
10,อำนาจเจริญ,7168,8228,8292,377581
10,มุกดาหาร,4335,5145,5657,349265
11,นครศรีธรรมราช,26930,29939,31531,1556075
11,กระบี่,7263,7419,7225,469847
11,พังงา,7338,7548,7911,263919
11,ภูเก็ต,6850,6634,6599,395424
11,สุราษฎร์ธานี,20788,22003,25230,1053944
11,ระนอง,2904,3044,3334,177001
11,ชุมพร,9116,9589,10654,505994
12,สงขลา,24932,25791,30830,1418792
12,สตูล,4607,4381,5128,320137
12,ตรัง,15653,16467,17421,641755
12,พัทลุง,10654,11398,12646,524618
12,ปัตตานี,7287,7513,7974,712310
12,ยะลา,7476,8652,8359,528350
12,นราธิวาส,13131,14736,17594,798098
